Ozone,Solar.R,Wind,Temp,Month,Day
41,190.0,7.4,67,5,1
36,118.0,8.0,72,5,2
12,149.0,12.6,74,5,3
18,313.0,11.5,62,5,4
19,,14.3,56,5,5
28,,14.9,66,5,6
23,299.0,8.6,65,5,7
19,99.0,13.8,59,5,8
8,19.0,20.1,61,5,9
20,194.0,8.6,69,5,10
7,,6.9,74,5,11
16,256.0,9.7,69,5,12
11,290.0,9.2,66,5,13
14,274.0,10.9,68,5,14
18,65.0,13.2,58,5,15
14,334.0,11.5,64,5,16
34,307.0,12.0,66,5,17
6,78.0,18.4,57,5,18
30,322.0,11.5,68,5,19
11,44.0,9.7,62,5,20
1,8.0,9.7,59,5,21
11,320.0,16.6,73,5,22
4,25.0,9.7,61,5,23
32,92.0,12.0,61,5,24
17,66.0,16.6,57,5,25
18,266.0,14.9,58,5,26
15,,8.0,57,5,27
23,13.0,12.0,67,5,28
45,252.0,14.9,81,5,29
115,223.0,5.7,79,5,30
37,279.0,7.4,76,5,31
34,286.0,8.6,78,6,1
29,287.0,9.7,74,6,2
18,242.0,16.1,67,6,3
48,186.0,9.2,84,6,4
49,220.0,8.6,85,6,5
26,264.0,14.3,79,6,6
29,127.0,9.7,82,6,7
62,273.0,6.9,87,6,8
71,291.0,13.8,90,6,9
39,323.0,11.5,87,6,10
56,259.0,10.9,93,6,11
62,250.0,9.2,92,6,12
23,148.0,8.0,82,6,13
27,332.0,13.8,80,6,14
26,322.0,11.5,79,6,15
21,191.0,14.9,77,6,16
37,284.0,20.7,72,6,17
20,37.0,9.2,65,6,18
12,120.0,11.5,73,6,19
13,137.0,10.3,76,6,20
49,150.0,6.3,77,6,21
70,59.0,1.7,76,6,22
69,91.0,4.6,76,6,23
52,250.0,6.3,76,6,24
44,135.0,8.0,75,6,25
55,127.0,8.0,78,6,26
23,47.0,10.3,73,6,27
50,98.0,11.5,80,6,28
24,31.0,14.9,77,6,29
66,138.0,8.0,83,6,30
135,269.0,4.1,84,7,1
49,248.0,9.2,85,7,2
32,236.0,9.2,81,7,3
39,101.0,10.9,84,7,4
64,175.0,4.6,83,7,5
40,314.0,10.9,83,7,6
77,276.0,5.1,88,7,7
97,267.0,6.3,92,7,8
97,272.0,5.7,92,7,9
85,175.0,7.4,89,7,10
46,139.0,8.6,82,7,11
10,264.0,14.3,73,7,12
27,175.0,14.9,81,7,13
42,291.0,14.9,91,7,14
7,48.0,14.3,80,7,15
48,260.0,6.9,81,7,16
35,274.0,10.3,82,7,17
61,285.0,6.3,84,7,18
79,187.0,5.1,87,7,19
63,220.0,11.5,85,7,20
16,7.0,6.9,74,7,21
50,258.0,9.7,81,7,22
49,295.0,11.5,82,7,23
80,294.0,8.6,86,7,24
108,223.0,8.0,85,7,25
20,81.0,8.6,82,7,26
52,82.0,12.0,86,7,27
82,213.0,7.4,88,7,28
50,275.0,7.4,86,7,29
64,253.0,7.4,83,7,30
59,254.0,9.2,81,7,31
39,83.0,6.9,81,8,1
9,24.0,13.8,81,8,2
16,77.0,7.4,82,8,3
78,,6.9,86,8,4
35,,7.4,85,8,5
66,,4.6,87,8,6
122,255.0,4.0,89,8,7
89,229.0,10.3,90,8,8
110,207.0,8.0,90,8,9
79,222.0,8.6,92,8,10
48,137.0,11.5,86,8,11
44,192.0,11.5,86,8,12
28,273.0,11.5,82,8,13
65,157.0,9.7,80,8,14
32,64.0,11.5,79,8,15
22,71.0,10.3,77,8,16
59,51.0,6.3,79,8,17
23,115.0,7.4,76,8,18
31,244.0,10.9,78,8,19
44,190.0,10.3,78,8,20
21,259.0,15.5,77,8,21
9,36.0,14.3,72,8,22
24,255.0,12.6,75,8,23
45,212.0,9.7,79,8,24
168,238.0,3.4,81,8,25
73,215.0,8.0,86,8,26
87,153.0,5.7,88,8,27
76,203.0,9.7,97,8,28
118,225.0,2.3,94,8,29
84,237.0,6.3,96,8,30
85,188.0,6.3,94,8,31
96,167.0,6.9,91,9,1
78,197.0,5.1,92,9,2
73,183.0,2.8,93,9,3
91,189.0,4.6,93,9,4
47,95.0,7.4,87,9,5
32,92.0,15.5,84,9,6
20,252.0,10.9,80,9,7
23,220.0,10.3,78,9,8
21,230.0,10.9,75,9,9
24,259.0,9.7,73,9,10
44,236.0,14.9,81,9,11
21,259.0,15.5,76,9,12
28,238.0,6.3,77,9,13
9,24.0,10.9,71,9,14
13,112.0,11.5,71,9,15
46,237.0,6.9,78,9,16
18,224.0,13.8,67,9,17
13,27.0,10.3,76,9,18
24,238.0,10.3,68,9,19
16,201.0,8.0,82,9,20
13,238.0,12.6,64,9,21
23,14.0,9.2,71,9,22
36,139.0,10.3,81,9,23
7,49.0,10.3,69,9,24
14,20.0,16.6,63,9,25
30,193.0,6.9,70,9,26
23,145.0,13.2,77,9,27
14,191.0,14.3,75,9,28
18,131.0,8.0,76,9,29
20,223.0,11.5,68,9,30
