time,car_cnt,request_cnt,ride_cnt,waiting_time,fare,distance,target,temp_max,temp_min,rain(mm),humidity_max(%),humidity_min(%),sunshine(MJ/m2),year,month,week,weekday,holiday,7days_waiting_time
2015-01-01,213,1023,924,23.2,2427,10764,17.2,-2.0,-8.9,0.0,63.0,28.0,9.07,2015,1,1,3,1.0,
2015-01-02,420,3158,2839,17.2,2216,8611,26.2,2.4,-9.2,0.0,73.0,37.0,8.66,2015,1,1,4,0.0,
2015-01-03,209,1648,1514,26.2,2377,10198,24.5,8.2,0.2,0.0,89.0,58.0,5.32,2015,1,1,5,1.0,
2015-01-04,196,1646,1526,24.5,2431,10955,26.2,7.9,-0.9,0.0,95.0,52.0,6.48,2015,1,1,6,1.0,
2015-01-05,421,4250,3730,26.2,2214,8663,23.6,4.1,-7.4,3.4,98.0,29.0,10.47,2015,1,2,0,0.0,
2015-01-06,417,3991,3633,23.6,2211,8545,24.7,-1.0,-8.8,0.0,42.0,24.0,10.12,2015,1,2,1,0.0,
2015-01-07,410,4085,3676,24.7,2230,8646,21.2,-0.2,-9.2,0.0,62.0,27.0,10.09,2015,1,2,2,0.0,23.657142857142855
2015-01-08,419,4030,3728,21.2,2231,8683,21.8,3.2,-6.8,0.0,78.0,38.0,8.74,2015,1,2,3,0.0,23.371428571428574
2015-01-09,424,4167,3813,21.8,2215,8506,41.2,4.3,-5.5,0.0,81.0,33.0,9.41,2015,1,2,4,0.0,24.02857142857143
2015-01-10,215,1916,1645,41.2,2447,11123,28.8,2.3,-4.0,0.0,83.0,39.0,9.6,2015,1,2,5,1.0,26.17142857142857
2015-01-11,187,1700,1572,28.8,2419,10806,23.2,3.4,-7.2,0.0,51.0,23.0,10.05,2015,1,2,6,1.0,26.785714285714285
2015-01-12,415,4254,3940,23.2,2225,8646,25.6,5.4,-4.9,0.0,56.0,23.0,8.14,2015,1,3,0,0.0,26.357142857142858
2015-01-13,416,4385,3973,25.6,2257,9034,23.7,6.1,-0.3,0.0,50.0,30.0,3.36,2015,1,3,1,0.0,26.642857142857142
2015-01-14,408,4255,3910,23.7,2225,8549,22.4,8.6,-1.1,0.0,71.0,35.0,8.47,2015,1,3,2,0.0,26.5
2015-01-15,415,4113,3810,22.4,2236,8738,23.3,3.2,-2.4,0.3,89.0,60.0,2.79,2015,1,3,3,0.0,26.671428571428574
2015-01-16,417,4231,3887,23.3,2214,8541,35.7,-0.2,-7.7,0.0,64.0,29.0,10.89,2015,1,3,4,0.0,26.885714285714283
2015-01-17,219,1913,1728,35.7,2376,10192,33.8,1.9,-6.4,2.5,99.0,42.0,5.06,2015,1,3,5,1.0,26.1
2015-01-18,188,1788,1579,33.8,2454,11461,25.8,3.0,-3.6,1.6,94.0,56.0,7.52,2015,1,3,6,1.0,26.814285714285713
2015-01-19,404,4230,3892,25.8,2228,8694,29.6,4.1,-6.4,0.0,78.0,34.0,9.79,2015,1,4,0,0.0,27.185714285714287
2015-01-20,413,4471,4015,29.6,2263,9065,26.3,6.4,-1.1,0.0,69.0,43.0,5.67,2015,1,4,1,0.0,27.757142857142856
2015-01-21,406,4264,3909,26.3,2236,8663,23.4,7.1,0.8,0.0,73.0,48.0,5.51,2015,1,4,2,0.0,28.12857142857143
2015-01-22,413,4248,3911,23.4,2236,8685,24.9,4.5,-1.4,0.0,78.0,48.0,6.88,2015,1,4,3,0.0,28.271428571428572
2015-01-23,405,4333,3951,24.9,2220,8516,34.5,8.2,0.9,0.0,74.0,47.0,8.35,2015,1,4,4,0.0,28.5
2015-01-24,209,1944,1738,34.5,2386,10088,32.5,4.7,1.2,1.5,98.0,55.0,2.09,2015,1,4,5,1.0,28.32857142857143
2015-01-25,189,1763,1593,32.5,2414,10884,24.9,6.3,0.3,2.0,99.0,65.0,3.06,2015,1,4,6,1.0,28.142857142857142
2015-01-26,405,4304,3952,24.9,2194,8435,26.8,0.5,-7.1,0.0,75.0,37.0,11.85,2015,1,5,0,0.0,28.014285714285712
2015-01-27,411,4395,4012,26.8,2208,8541,27.0,2.5,-9.1,0.0,60.0,33.0,10.98,2015,1,5,1,0.0,27.614285714285717
2015-01-28,409,4276,3945,27.0,2237,8737,22.6,2.9,-4.4,0.0,64.0,48.0,4.09,2015,1,5,2,0.0,27.714285714285715
2015-01-29,413,4235,3908,22.6,2212,8653,23.6,0.5,-6.7,0.0,68.0,32.0,10.69,2015,1,5,3,0.0,27.599999999999998
2015-01-30,437,4339,3938,23.6,2199,8453,29.4,0.6,-8.4,0.0,58.0,32.0,12.07,2015,1,5,4,0.0,27.414285714285715
2015-01-31,221,1832,1654,29.4,2379,10068,29.0,3.5,-8.0,0.0,64.0,25.0,12.34,2015,1,5,5,1.0,26.685714285714283
2015-02-01,197,1728,1612,29.0,2394,10695,23.5,6.0,-5.3,0.0,63.0,24.0,10.21,2015,2,5,6,1.0,26.185714285714287
2015-02-02,421,4341,4049,23.5,2182,8333,23.3,7.0,-3.4,0.0,77.0,27.0,10.3,2015,2,6,0,0.0,25.985714285714288
2015-02-03,421,4376,4064,23.3,2217,8540,26.3,5.4,-3.1,0.0,87.0,26.0,9.31,2015,2,6,1,0.0,25.485714285714288
2015-02-04,411,4417,4033,26.3,2223,8615,27.9,4.7,-3.8,0.0,73.0,39.0,10.43,2015,2,6,2,0.0,25.385714285714283
2015-02-05,408,4307,3911,27.9,2231,8755,26.8,6.2,-4.2,0.0,68.0,37.0,11.5,2015,2,6,3,0.0,26.142857142857142
2015-02-06,423,4313,3916,26.8,2228,8679,37.2,5.2,-1.5,0.0,78.0,46.0,6.2,2015,2,6,4,0.0,26.6
2015-02-07,231,2028,1772,37.2,2427,10800,28.7,-2.7,-11.9,0.0,56.0,23.0,12.92,2015,2,6,5,1.0,27.714285714285715
